2023-05-03 13:21:31.017 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-03 13:21:31.061 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 0 Redis repository interfaces.
2023-05-03 13:21:31.732 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-03 13:21:31.733 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-05-03 13:21:31.734 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-05-03 13:21:31.736 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-05-03 13:21:31.744 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-03 13:21:31.745 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-03 13:21:31.745 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-03 13:21:31.851 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-03 13:21:31.851 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1677 ms
2023-05-03 13:21:34.647 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@102ecb61, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1fd0ae78, org.springframework.security.web.context.SecurityContextHolderFilter@77f529a6, org.springframework.security.web.header.HeaderWriterFilter@52035328, org.springframework.security.web.authentication.logout.LogoutFilter@69d902f9, top.whf.security.filter.AuthenticationTokenFilter@1282f784, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6516181f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@40cb95c1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@583030bd, org.springframework.security.web.session.SessionManagementFilter@1e429f56, org.springframework.security.web.access.ExceptionTranslationFilter@1aa31454, org.springframework.security.web.access.intercept.AuthorizationFilter@21c5c68a]
2023-05-03 13:21:35.038 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-03 13:21:35.063 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-03 13:21:35.073 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 5.369 seconds (process running for 6.392)
2023-05-03 13:21:39.798 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-03 13:21:39.799 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-03 13:21:39.800 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-03 13:21:41.299 [http-nio-8080-exec-24] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 748 ms
2023-05-03 13:21:45.042 [http-nio-8080-exec-6] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-05-03 13:21:45.307 [http-nio-8080-exec-6] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@5d3341d8
2023-05-03 13:21:45.309 [http-nio-8080-exec-6] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-05-03 13:34:52.999 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-03 13:34:53.004 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-03 13:34:57.823 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-03 13:34:57.865 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 23172 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-05-03 13:34:57.866 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-05-03 13:34:58.756 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-03 13:34:58.759 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-03 13:34:58.806 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 0 Redis repository interfaces.
2023-05-03 13:34:59.494 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-03 13:34:59.495 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
